problem,solver,settings,runtime,found,primal_residual,dual_residual,duality_gap
LIPMWALK0,clarabel,default,0.000365395000017088,True,0.0,1.6156355767127373e-12,2.3252868852630115e-08
LIPMWALK0,clarabel,high_accuracy,0.00037452299989126914,True,0.0,3.031082329574275e-14,2.3275412153189734e-10
LIPMWALK0,clarabel,low_accuracy,0.00032694299989088904,True,0.0,6.626643678231403e-16,0.0008223699277968566
LIPMWALK0,clarabel,mid_accuracy,0.00035344599996278703,True,0.0,1.6156355767127373e-12,2.3252868852630115e-08
LIPMWALK0,cvxopt,default,0.0011492639998778,True,0.0,8.666678485980128e-15,1.892683905990733e-07
LIPMWALK0,cvxopt,high_accuracy,0.0008154610000019,True,0.0,8.666678485980128e-15,1.892683905990733e-07
LIPMWALK0,cvxopt,low_accuracy,0.0008053779999954,True,0.0,8.666678485980128e-15,1.892683905990733e-07
LIPMWALK0,cvxopt,mid_accuracy,0.0007708439998168,True,0.0,8.666678485980128e-15,1.892683905990733e-07
LIPMWALK0,daqp,default,7.922600002530089e-05,True,8.326672684688674e-17,1.3877787807814454e-16,6.938893903907228e-16
LIPMWALK0,daqp,high_accuracy,7.592299994030327e-05,True,8.326672684688674e-17,1.3877787807814454e-16,6.938893903907228e-16
LIPMWALK0,daqp,low_accuracy,6.463299996539718e-05,True,8.326672684688674e-17,1.3877787807814454e-16,6.938893903907228e-16
LIPMWALK0,daqp,mid_accuracy,6.745599989699258e-05,True,8.326672684688674e-17,1.3877787807814454e-16,6.938893903907228e-16
LIPMWALK0,ecos,default,0.0006258309999793,False,inf,inf,inf
LIPMWALK0,ecos,high_accuracy,0.0006173159999889,False,inf,inf,inf
LIPMWALK0,ecos,low_accuracy,0.0006344480000279,False,inf,inf,inf
LIPMWALK0,ecos,mid_accuracy,0.0006099339998399,False,inf,inf,inf
LIPMWALK0,gurobi,default,0.0020485990000906,True,3.3317792969000963e-13,1.0699592253859969e-12,1.7180451505893754e-10
LIPMWALK0,gurobi,high_accuracy,0.0020133930001975,True,3.3317792969000963e-13,1.0699592253859969e-12,1.7180451505893754e-10
LIPMWALK0,gurobi,low_accuracy,0.0017252750001262,True,3.3317792969000963e-13,1.0699592253859969e-12,1.7180451505893754e-10
LIPMWALK0,gurobi,mid_accuracy,0.0016906819998894,True,3.3317792969000963e-13,1.0699592253859969e-12,1.7180451505893754e-10
LIPMWALK0,highs,default,0.000975672000095,True,1.5520917884259688e-13,8.110399261108958e-07,1.6250765479813856e-05
LIPMWALK0,highs,high_accuracy,0.0009901800001443,True,1.5520917884259688e-13,8.110399261108958e-07,1.6250765479813856e-05
LIPMWALK0,highs,low_accuracy,0.0008228880001297,True,1.5520917884259688e-13,8.110399261108958e-07,1.6250765479813856e-05
LIPMWALK0,highs,mid_accuracy,0.000773343999981,True,1.5520917884259688e-13,8.110399261108958e-07,1.6250765479813856e-05
LIPMWALK0,hpipm,default,0.0006167610001739,True,0.0,3.004740553591567e-13,1.782823888518692e-12
LIPMWALK0,hpipm,high_accuracy,0.0005050330000813,True,0.0,3.004740553591567e-13,1.782823888518692e-12
LIPMWALK0,hpipm,low_accuracy,0.0005737120000048,True,0.0,3.004740553591567e-13,1.782823888518692e-12
LIPMWALK0,hpipm,mid_accuracy,0.0005421910000222,True,0.0,3.004740553591567e-13,1.782823888518692e-12
LIPMWALK0,osqp,default,0.0003744850000657,True,3.145563320416933e-05,0.0012002505592485,0.0002887013338668
LIPMWALK0,osqp,high_accuracy,0.000851700000112,True,1.7804729912640482e-11,7.137738724724563e-10,1.051705111887457e-09
LIPMWALK0,osqp,low_accuracy,0.0003876589998981,True,1.845295497662769e-05,0.0007198131553617,0.0007808705275373
LIPMWALK0,osqp,mid_accuracy,0.0006280659999902,True,1.823602241435297e-08,7.310676898011556e-07,1.0774454318185356e-06
LIPMWALK0,piqp,default,0.0001383920000534,True,0.0,5.319109649265519e-11,1.118638154329332e-09
LIPMWALK0,piqp,high_accuracy,0.0001284149998355,True,0.0,5.25585651389715e-13,1.1029011037777536e-11
LIPMWALK0,piqp,low_accuracy,0.0001291600001422,True,0.0,2.996672886813271e-05,3.881167901539917e-05
LIPMWALK0,piqp,mid_accuracy,0.0001338399999895,True,0.0,5.3191900823215685e-09,1.1194136606551552e-07
LIPMWALK0,proxqp,default,0.000137124000048,True,0.0,2.8573521768972265e-07,0.0005716052216995
LIPMWALK0,proxqp,high_accuracy,0.0001460040000438,True,1.7648521533075725e-12,9.842821002692403e-15,1.7995605006149162e-10
LIPMWALK0,proxqp,low_accuracy,0.000123067000004,True,0.0001722778247372,9.700044764464345e-08,0.0008635720061846
LIPMWALK0,proxqp,mid_accuracy,0.0001666569999088,True,0.0,6.156512105670586e-11,3.555709632563353e-07
LIPMWALK0,qpalm,default,0.0005952589999651,True,0.0,4.222902399986239e-08,7.215936057208827e-06
LIPMWALK0,qpalm,high_accuracy,0.0004971410000962,True,5.753175713607561e-13,3.63953658877314e-14,8.68999316949726e-13
LIPMWALK0,qpalm,low_accuracy,0.0005888569999115,True,0.0,4.222902399986239e-08,7.215936057208827e-06
LIPMWALK0,qpalm,mid_accuracy,0.0004712649999873,True,0.0,9.484515950397564e-11,1.6272657582527827e-08
LIPMWALK0,qpoases,default,0.0003476790000149,True,0.0,3.538835890992686e-16,1.637578961322106e-15
LIPMWALK0,qpoases,high_accuracy,0.0004210409999814,True,4.440892098500626e-16,1.1188966420050406e-16,4.718447854656915e-16
LIPMWALK0,qpoases,low_accuracy,0.0001242859998455,True,1.2702061624736416e-12,2.8319360745321376e-16,1.3391232567272482e-12
LIPMWALK0,qpoases,mid_accuracy,0.000322929000049,True,0.0,3.538835890992686e-16,1.637578961322106e-15
LIPMWALK0,qpswift,default,0.0005668550002155,False,inf,inf,inf
LIPMWALK0,qpswift,high_accuracy,0.0005689099998562,False,inf,inf,inf
LIPMWALK0,qpswift,low_accuracy,0.0005739209991588,False,inf,inf,inf
LIPMWALK0,qpswift,mid_accuracy,0.0005630539999401,False,inf,inf,inf
LIPMWALK0,quadprog,default,6.307900002866518e-05,True,2.775557561562892e-17,9.714451465470121e-17,2.248201624865942e-15
LIPMWALK0,quadprog,high_accuracy,5.175799992684915e-05,True,2.775557561562892e-17,9.714451465470121e-17,2.248201624865942e-15
LIPMWALK0,quadprog,low_accuracy,4.428900001585134e-05,True,2.775557561562892e-17,9.714451465470121e-17,2.248201624865942e-15
LIPMWALK0,quadprog,mid_accuracy,5.561200009651657e-05,True,2.775557561562892e-17,9.714451465470121e-17,2.248201624865942e-15
LIPMWALK0,scs,default,0.0004022729999633,True,3.6578771566014856e-05,2.034374934114028e-05,0.0002171698741411
LIPMWALK0,scs,high_accuracy,0.0006231920001482,True,3.624878175401136e-14,2.7946395197986362e-15,2.1260770921571748e-14
LIPMWALK0,scs,low_accuracy,0.0003844380000828,True,3.6578771566014856e-05,2.034374934114028e-05,0.0002171698741411
LIPMWALK0,scs,mid_accuracy,0.0004299469999295,True,0.0,1.327537022359493e-07,1.1217093295878833e-07
LIPMWALK1,clarabel,default,0.00036012400005347445,True,0.0,1.1169867114579901e-12,7.625689996126894e-09
LIPMWALK1,clarabel,high_accuracy,0.0003688260001126764,True,0.0,1.811398253614982e-14,7.627087850181624e-11
LIPMWALK1,clarabel,low_accuracy,0.0003425970000989764,True,0.0,3.1693397906096266e-15,0.0007466799345699493
LIPMWALK1,clarabel,mid_accuracy,0.00035228299998379953,True,0.0,4.2828763105462464e-11,7.51742172816483e-07
LIPMWALK1,cvxopt,default,0.0011591410000164,True,0.0,1.6191908924767514e-14,8.13494246132418e-08
LIPMWALK1,cvxopt,high_accuracy,0.001556703999995,True,0.0,1.6191908924767514e-14,8.13494246132418e-08
LIPMWALK1,cvxopt,low_accuracy,0.0011900510000941,True,0.0,1.6191908924767514e-14,8.13494246132418e-08
LIPMWALK1,cvxopt,mid_accuracy,0.0010947460000352,True,0.0,1.6191908924767514e-14,8.13494246132418e-08
LIPMWALK1,daqp,default,8.994399991024693e-05,True,0.0,1.994931997373328e-16,7.49400541621981e-16
LIPMWALK1,daqp,high_accuracy,7.841199999347737e-05,True,0.0,1.994931997373328e-16,7.49400541621981e-16
LIPMWALK1,daqp,low_accuracy,8.432999993601697e-05,True,0.0,1.994931997373328e-16,7.49400541621981e-16
LIPMWALK1,daqp,mid_accuracy,7.107300007191952e-05,True,0.0,1.994931997373328e-16,7.49400541621981e-16
LIPMWALK1,ecos,default,0.0006535729999086,False,inf,inf,inf
LIPMWALK1,ecos,high_accuracy,0.0006089060000249,False,inf,inf,inf
LIPMWALK1,ecos,low_accuracy,0.0005506190000232,False,inf,inf,inf
LIPMWALK1,ecos,mid_accuracy,0.0006144139999832,False,inf,inf,inf
LIPMWALK1,gurobi,default,0.0029336200000216,True,5.4453552777999896e-11,9.45077106850878e-11,6.074729330673986e-10
LIPMWALK1,gurobi,high_accuracy,0.0027345270000296,True,5.4453552777999896e-11,9.45077106850878e-11,6.074729330673986e-10
LIPMWALK1,gurobi,low_accuracy,0.0017168409999612,True,5.4453552777999896e-11,9.45077106850878e-11,6.074729330673986e-10
LIPMWALK1,gurobi,mid_accuracy,0.0017759239999577,True,5.4453552777999896e-11,9.45077106850878e-11,6.074729330673986e-10
LIPMWALK1,highs,default,0.0011037090000627,True,1.2945200467129325e-13,8.127846779226733e-07,1.5756742363953746e-05
LIPMWALK1,highs,high_accuracy,0.0008512500000961,True,1.2945200467129325e-13,8.127846779226733e-07,1.5756742363953746e-05
LIPMWALK1,highs,low_accuracy,0.0007517250001001,True,1.2945200467129325e-13,8.127846779226733e-07,1.5756742363953746e-05
LIPMWALK1,highs,mid_accuracy,0.0007429320000937,True,1.2945200467129325e-13,8.127846779226733e-07,1.5756742363953746e-05
LIPMWALK1,hpipm,default,0.0006154079999305,True,0.0,1.46448825288914e-13,1.3135242893369536e-11
LIPMWALK1,hpipm,high_accuracy,0.0005215520000092,True,0.0,1.46448825288914e-13,1.3135242893369536e-11
LIPMWALK1,hpipm,low_accuracy,0.0005024050001338,True,0.0,1.46448825288914e-13,1.3135242893369536e-11
LIPMWALK1,hpipm,mid_accuracy,0.0004502599999796,True,0.0,1.46448825288914e-13,1.3135242893369536e-11
LIPMWALK1,osqp,default,0.0004203249998226,True,0.0001000327493638,0.00022550553813,0.000423512893339
LIPMWALK1,osqp,high_accuracy,0.0005429629998161,True,1.2662815240815914e-10,2.861031134226977e-10,6.093538174045673e-10
LIPMWALK1,osqp,low_accuracy,0.0004014470000583,True,0.0001000327493638,0.00022550553813,0.000423512893339
LIPMWALK1,osqp,mid_accuracy,0.0004688919998443,True,1.12510866345783e-07,2.542053891309293e-07,5.413465861137112e-07
LIPMWALK1,piqp,default,0.0001321689999258,True,0.0,1.4180739915659046e-12,5.025334037789261e-10
LIPMWALK1,piqp,high_accuracy,0.0001279789998989,True,0.0,1.4180739915659046e-12,5.025334037789261e-10
LIPMWALK1,piqp,low_accuracy,9.935299999597191e-05,True,0.0,1.3992780879650002e-06,0.0001855684752928
LIPMWALK1,piqp,mid_accuracy,0.0001265669998247,True,0.0,1.3989563153737894e-10,5.024551824606149e-08
LIPMWALK1,proxqp,default,0.0001417599999058,True,2.170444430682484e-06,4.0410505006485686e-08,0.0002708715040212
LIPMWALK1,proxqp,high_accuracy,0.0001245010000729,True,0.0,9.337669526487957e-14,8.754305058644715e-10
LIPMWALK1,proxqp,low_accuracy,0.0001441160000013,True,2.170444430682484e-06,4.0410505006485686e-08,0.0002708715040212
LIPMWALK1,proxqp,mid_accuracy,0.0001182690000405,True,0.0,6.01321726786952e-12,5.974009342768484e-08
LIPMWALK1,qpalm,default,0.0004689969998707,True,5.8417497356744175e-05,2.949395140339206e-07,4.2471007762556745e-05
LIPMWALK1,qpalm,high_accuracy,0.0006270310000218,True,0.0,9.101573661407516e-14,8.975598042582078e-13
LIPMWALK1,qpalm,low_accuracy,0.0005034470000282,True,5.8417497356744175e-05,2.949395140339206e-07,4.2471007762556745e-05
